epoch,model,seq_len,pred_len,data,batch_size,train_loss,vali_loss,test_loss,time_cost,learning_rate,date
1,GLinear,336,24,ETTh1,16,0.27444,0.424,0.32793,9.34,0.001,2025-04-19 13:41:36
2,GLinear,336,24,ETTh1,16,0.2449,0.43423,0.31994,7.85,0.001,2025-04-19 13:41:44
3,GLinear,336,24,ETTh1,16,0.22088,0.44331,0.32363,8.18,0.0005,2025-04-19 13:41:53
4,GLinear,336,24,ETTh1,16,0.20747,0.43162,0.31608,9.08,0.00025,2025-04-19 13:42:02
5,GLinear,336,24,ETTh1,16,0.19929,0.43297,0.3176,8.8,0.000125,2025-04-19 13:42:10
6,GLinear,336,24,ETTh1,16,0.19497,0.42911,0.31382,8.94,6.3e-05,2025-04-19 13:42:19
7,GLinear,336,24,ETTh1,16,0.19265,0.42786,0.31326,7.88,3.1e-05,2025-04-19 13:42:27
8,GLinear,336,24,ETTh1,16,0.19152,0.428,0.31426,8.1,1.6e-05,2025-04-19 13:42:35
9,GLinear,336,24,ETTh1,16,0.1909,0.4282,0.31412,9.02,8e-06,2025-04-19 13:42:44
10,GLinear,336,24,ETTh1,16,0.19064,0.42942,0.31386,8.72,4e-06,2025-04-19 13:42:53
11,GLinear,336,24,ETTh1,16,0.19046,0.42898,0.31393,8.67,2e-06,2025-04-19 13:43:02
12,GLinear,336,24,ETTh1,16,0.19031,0.42901,0.31396,7.56,1e-06,2025-04-19 13:43:09
13,GLinear,336,24,ETTh1,16,0.19033,0.42844,0.31397,8.98,0.0,2025-04-19 13:43:18
14,GLinear,336,24,ETTh1,16,0.1903,0.42896,0.31398,9.16,0.0,2025-04-19 13:43:27
15,GLinear,336,24,ETTh1,16,0.19032,0.42922,0.31398,8.95,0.0,2025-04-19 13:43:36
16,GLinear,336,24,ETTh1,16,0.19031,0.42837,0.31399,9.04,0.0,2025-04-19 13:43:45
17,GLinear,336,24,ETTh1,16,0.19029,0.42922,0.31399,7.88,0.0,2025-04-19 13:43:53
18,GLinear,336,24,ETTh1,16,0.19025,0.42921,0.31399,8.86,0.0,2025-04-19 13:44:02
19,GLinear,336,24,ETTh1,16,0.19026,0.42897,0.31399,8.87,0.0,2025-04-19 13:44:11
20,GLinear,336,24,ETTh1,16,0.19025,0.42887,0.31399,9.59,0.0,2025-04-19 13:44:21
21,GLinear,336,24,ETTh1,16,0.19025,0.42875,0.31399,8.79,0.0,2025-04-19 13:44:29
22,GLinear,336,24,ETTh1,16,0.19029,0.42819,0.31399,7.92,0.0,2025-04-19 13:44:37
23,GLinear,336,24,ETTh1,16,0.19032,0.42919,0.31399,8.78,0.0,2025-04-19 13:44:46
24,GLinear,336,24,ETTh1,16,0.1903,0.42903,0.31399,8.85,0.0,2025-04-19 13:44:55
25,GLinear,336,24,ETTh1,16,0.19031,0.42854,0.31399,9.05,0.0,2025-04-19 13:45:04
26,GLinear,336,24,ETTh1,16,0.19028,0.42888,0.31399,8.41,0.0,2025-04-19 13:45:12
27,GLinear,336,24,ETTh1,16,0.19028,0.42927,0.31399,8.0,0.0,2025-04-19 13:45:20
