epoch,model,seq_len,pred_len,data,batch_size,train_loss,vali_loss,test_loss,time_cost,learning_rate,date
1,MyLinearModels,336,24,ETTh1,16,0.32168,0.42684,0.35361,8.69,0.001,2025-04-22 13:48:19
2,MyLinearModels,336,24,ETTh1,16,0.27241,0.43296,0.33491,7.86,0.001,2025-04-22 13:48:27
3,MyLinearModels,336,24,ETTh1,16,0.25822,0.42264,0.32385,8.29,0.0005,2025-04-22 13:48:35
4,MyLinearModels,336,24,ETTh1,16,0.25141,0.41531,0.3236,8.0,0.00025,2025-04-22 13:48:43
5,MyLinearModels,336,24,ETTh1,16,0.24776,0.41493,0.32242,8.12,0.000125,2025-04-22 13:48:51
6,MyLinearModels,336,24,ETTh1,16,0.2458,0.41486,0.32298,8.16,6.3e-05,2025-04-22 13:48:59
7,MyLinearModels,336,24,ETTh1,16,0.24476,0.41931,0.32234,7.81,3.1e-05,2025-04-22 13:49:07
8,MyLinearModels,336,24,ETTh1,16,0.24409,0.41717,0.32183,8.29,1.6e-05,2025-04-22 13:49:15
9,MyLinearModels,336,24,ETTh1,16,0.24396,0.41784,0.32197,7.96,8e-06,2025-04-22 13:49:23
10,MyLinearModels,336,24,ETTh1,16,0.24391,0.41665,0.32186,7.86,4e-06,2025-04-22 13:49:31
11,MyLinearModels,336,24,ETTh1,16,0.2436,0.41792,0.32189,8.17,2e-06,2025-04-22 13:49:39
12,MyLinearModels,336,24,ETTh1,16,0.24365,0.4163,0.3219,8.09,1e-06,2025-04-22 13:49:47
13,MyLinearModels,336,24,ETTh1,16,0.24366,0.41775,0.3219,8.22,0.0,2025-04-22 13:49:55
14,MyLinearModels,336,24,ETTh1,16,0.24365,0.41717,0.3219,8.32,0.0,2025-04-22 13:50:04
15,MyLinearModels,336,24,ETTh1,16,0.24366,0.41722,0.3219,8.31,0.0,2025-04-22 13:50:12
16,MyLinearModels,336,24,ETTh1,16,0.24368,0.41668,0.3219,8.5,0.0,2025-04-22 13:50:21
17,MyLinearModels,336,24,ETTh1,16,0.24371,0.41712,0.3219,8.19,0.0,2025-04-22 13:50:29
18,MyLinearModels,336,24,ETTh1,16,0.24359,0.41608,0.3219,7.71,0.0,2025-04-22 13:50:37
19,MyLinearModels,336,24,ETTh1,16,0.2437,0.41784,0.3219,7.85,0.0,2025-04-22 13:50:44
20,MyLinearModels,336,24,ETTh1,16,0.2437,0.41732,0.3219,7.96,0.0,2025-04-22 13:50:52
21,MyLinearModels,336,24,ETTh1,16,0.24357,0.41749,0.3219,8.29,0.0,2025-04-22 13:51:01
22,MyLinearModels,336,24,ETTh1,16,0.2437,0.41763,0.3219,8.09,0.0,2025-04-22 13:51:09
23,MyLinearModels,336,24,ETTh1,16,0.24365,0.41753,0.3219,8.14,0.0,2025-04-22 13:51:17
24,MyLinearModels,336,24,ETTh1,16,0.24362,0.41799,0.3219,7.97,0.0,2025-04-22 13:51:25
25,MyLinearModels,336,24,ETTh1,16,0.2437,0.41724,0.3219,8.38,0.0,2025-04-22 13:51:33
26,MyLinearModels,336,24,ETTh1,16,0.24374,0.41658,0.3219,8.22,0.0,2025-04-22 13:51:41
27,MyLinearModels,336,24,ETTh1,16,0.24366,0.41736,0.3219,8.21,0.0,2025-04-22 13:51:50
28,MyLinearModels,336,24,ETTh1,16,0.2437,0.41751,0.3219,8.01,0.0,2025-04-22 13:51:58
29,MyLinearModels,336,24,ETTh1,16,0.24376,0.41775,0.3219,8.08,0.0,2025-04-22 13:52:06
30,MyLinearModels,336,24,ETTh1,16,0.24355,0.41587,0.3219,8.48,0.0,2025-04-22 13:52:14
31,MyLinearModels,336,24,ETTh1,16,0.24368,0.41683,0.3219,8.5,0.0,2025-04-22 13:52:23
32,MyLinearModels,336,24,ETTh1,16,0.24367,0.41688,0.3219,8.19,0.0,2025-04-22 13:52:31
33,MyLinearModels,336,24,ETTh1,16,0.24369,0.41716,0.3219,8.11,0.0,2025-04-22 13:52:39
34,MyLinearModels,336,24,ETTh1,16,0.24364,0.41798,0.3219,7.89,0.0,2025-04-22 13:52:47
35,MyLinearModels,336,24,ETTh1,16,0.2436,0.41783,0.3219,8.02,0.0,2025-04-22 13:52:55
36,MyLinearModels,336,24,ETTh1,16,0.2436,0.41743,0.3219,8.05,0.0,2025-04-22 13:53:03
37,MyLinearModels,336,24,ETTh1,16,0.24366,0.41732,0.3219,8.26,0.0,2025-04-22 13:53:11
38,MyLinearModels,336,24,ETTh1,16,0.24369,0.41649,0.3219,7.97,0.0,2025-04-22 13:53:19
39,MyLinearModels,336,24,ETTh1,16,0.24363,0.41762,0.3219,8.11,0.0,2025-04-22 13:53:27
40,MyLinearModels,336,24,ETTh1,16,0.24369,0.41762,0.3219,8.03,0.0,2025-04-22 13:53:35
41,MyLinearModels,336,24,ETTh1,16,0.24361,0.41733,0.3219,8.25,0.0,2025-04-22 13:53:44
42,MyLinearModels,336,24,ETTh1,16,0.24367,0.41788,0.3219,8.13,0.0,2025-04-22 13:53:52
43,MyLinearModels,336,24,ETTh1,16,0.2437,0.41666,0.3219,8.04,0.0,2025-04-22 13:54:00
44,MyLinearModels,336,24,ETTh1,16,0.24352,0.41724,0.3219,7.95,0.0,2025-04-22 13:54:08
45,MyLinearModels,336,24,ETTh1,16,0.2437,0.41751,0.3219,8.12,0.0,2025-04-22 13:54:16
46,MyLinearModels,336,24,ETTh1,16,0.24365,0.41734,0.3219,8.37,0.0,2025-04-22 13:54:24
47,MyLinearModels,336,24,ETTh1,16,0.24371,0.41775,0.3219,8.4,0.0,2025-04-22 13:54:33
48,MyLinearModels,336,24,ETTh1,16,0.24376,0.41762,0.3219,8.39,0.0,2025-04-22 13:54:41
